#probability_of_winning_a_match ratio_of_matches_won
0.02 0.00
0.03 0.00
0.04 0.00
0.05 0.00
0.06 0.25
0.07 0.00
0.08 0.00
0.09 0.25
0.10 0.08
0.11 0.13
0.12 0.00
0.13 0.10
0.14 0.25
0.15 0.17
0.16 0.21
0.17 0.17
0.18 0.25
0.19 0.16
0.20 0.24
0.21 0.16
0.22 0.32
0.23 0.11
0.24 0.39
0.25 0.33
0.26 0.26
0.27 0.40
0.28 0.38
0.29 0.27
0.30 0.33
0.31 0.23
0.32 0.38
0.33 0.27
0.34 0.34
0.35 0.36
0.36 0.40
0.37 0.48
0.38 0.35
0.39 0.48
0.40 0.36
0.41 0.38
0.42 0.50
0.43 0.46
0.44 0.51
0.45 0.33
0.46 0.50
0.47 0.53
0.48 0.55
0.49 0.53
0.50 0.50
0.51 0.47
0.52 0.45
0.53 0.47
0.54 0.50
0.55 0.67
0.56 0.49
0.57 0.54
0.58 0.50
0.59 0.63
0.60 0.64
0.61 0.52
0.62 0.65
0.63 0.53
0.64 0.60
0.65 0.64
0.66 0.66
0.67 0.73
0.68 0.62
0.69 0.77
0.70 0.67
0.71 0.73
0.72 0.62
0.73 0.60
0.74 0.74
0.75 0.67
0.76 0.61
0.77 0.89
0.78 0.68
0.79 0.84
0.80 0.76
0.81 0.84
0.82 0.75
0.83 0.83
0.84 0.79
0.85 0.83
0.86 0.75
0.87 0.90
0.88 1.00
0.89 0.88
0.90 0.92
0.91 0.75
0.92 1.00
0.93 1.00
0.94 0.75
0.95 1.00
0.96 1.00
0.97 1.00
0.98 1.00
