federer,djokovic
5.01,4.87
5.01,4.97
5.11,4.97
5.11,5.05
5.13,5.05
5.13,5.12
5.25,5.12
5.25,5.20
5.48,4.98
5.16,4.98
5.18,4.98
5.27,4.98
5.35,4.98
5.39,4.98
5.41,4.98
5.41,5.01
5.46,5.01
5.46,5.07
5.49,5.07
5.49,5.10
5.62,5.10
5.62,5.18
5.83,4.98
5.87,4.98
5.87,5.04
5.90,5.04
5.90,4.43
5.97,4.43
5.52,4.43
5.61,4.43
5.61,4.49
5.75,4.49
5.75,4.26
5.87,4.26
5.87,4.41
6.01,4.28
6.17,4.28
6.17,4.28
6.18,4.28
6.23,4.28
6.29,4.28
6.34,4.28
6.34,4.33
6.35,4.33
6.35,4.38
6.41,4.38
6.41,4.51
6.42,4.51
6.42,4.58
6.45,4.58
6.45,4.68
6.54,4.68
6.10,5.05
6.10,5.24
6.11,5.24
6.11,5.29
6.12,5.29
6.12,5.31
6.15,5.31
6.15,5.36
6.19,5.36
6.19,5.44
5.84,5.72
5.84,5.73
5.86,5.73
5.86,5.76
5.87,5.76
5.87,5.83
5.89,5.83
5.89,5.89
6.04,5.89
5.75,6.14
5.75,6.28
5.78,6.28
5.81,6.28
5.81,6.29
5.84,6.29
5.84,6.35
5.84,6.37
5.47,6.37
5.47,6.44
5.47,6.60
5.47,6.62
5.49,6.62
5.49,6.66
4.94,6.66
4.94,6.75
4.94,6.80
4.94,6.88
4.94,6.89
5.07,6.89
5.07,6.92
5.13,6.92
5.13,7.01
4.71,7.01
4.71,7.07
4.71,6.43
4.74,6.43
4.74,6.44
4.77,6.44
4.77,6.47
4.88,6.47
4.88,6.50
4.95,6.50
4.95,6.56
5.09,6.56
4.95,6.72
4.95,6.86
4.95,6.87
4.96,6.87
4.96,6.87
5.03,6.87
5.03,6.89
5.15,6.89
5.15,6.12
5.26,6.12
5.36,6.12
5.36,6.15
5.37,6.15
5.37,6.17
5.45,6.17
5.53,6.17
5.68,6.17
5.80,6.17
5.90,6.17
5.90,6.29
6.05,6.29
6.05,5.78
6.12,5.78
6.12,5.24
6.22,5.24
